student_id,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,facility_rating,exam_difficulty,exam_score,study_method_coaching,study_method_group study,study_method_mixed,study_method_online videos,study_method_self-study
1,diploma,2.78,92.9,0,7.4,0,0,0,58.9,True,False,False,False,False
2,bca,3.37,64.8,0,4.6,1,1,1,54.8,False,False,False,True,False
3,b.sc,7.88,76.8,0,8.5,0,2,1,90.3,True,False,False,False,False
4,diploma,0.67,48.4,0,5.8,1,0,1,29.7,False,False,False,True,False
5,diploma,0.89,71.6,0,9.8,0,0,1,43.7,True,False,False,False,False
6,b.tech,3.48,65.4,0,4.2,2,0,1,58.2,False,False,True,False,False
7,b.tech,1.35,69.0,0,7.4,1,2,0,53.7,False,False,False,True,False
8,b.sc,5.48,51.1,0,8.2,0,0,1,47.3,False,False,False,False,True
9,bca,2.89,92.0,0,6.6,0,0,2,44.9,False,False,False,False,True
10,bba,6.77,44.8,0,9.8,1,2,1,77.7,False,True,False,False,False
11,ba,5.99,86.9,0,5.8,1,1,2,63.2,False,False,False,False,True
12,b.com,3.77,96.6,1,4.1,0,1,2,53.5,False,False,False,True,False
13,ba,6.76,46.4,0,8.1,2,1,0,63.9,False,False,False,False,True
14,bba,0.81,66.0,0,7.1,0,1,1,34.1,False,False,False,True,False
15,b.tech,4.65,75.1,0,7.7,2,2,1,83.5,False,True,False,False,False
16,bba,4.84,99.4,0,7.3,1,2,1,98.5,True,False,False,False,False
17,b.sc,1.97,91.9,0,8.3,1,1,1,70.3,False,False,False,False,True
18,bca,0.4,64.9,0,6.8,0,1,1,32.3,False,False,False,False,True
19,b.sc,4.28,98.1,0,4.4,1,0,1,56.2,False,False,True,False,False
20,b.tech,4.11,59.9,0,4.3,0,2,1,49.3,True,False,False,False,False
21,ba,5.23,60.4,0,4.2,0,1,2,68.1,True,False,False,False,False
22,ba,1.7,70.4,0,9.8,2,0,2,52.1,False,False,True,False,False
23,ba,1.44,86.8,0,9.7,1,1,2,47.1,False,True,False,False,False
24,diploma,7.82,51.5,0,6.3,2,0,2,84.8,False,False,False,False,True
25,bba,0.91,84.5,0,8.0,1,0,1,68.9,True,False,False,False,False
26,b.com,7.91,40.6,0,4.3,2,0,1,76.3,False,True,False,False,False
27,bca,5.76,55.7,1,8.2,1,0,2,71.6,False,False,False,False,True
28,ba,5.03,98.5,0,6.7,0,2,0,74.1,False,False,True,False,False
29,b.sc,2.72,79.4,0,7.0,2,1,1,56.6,False,False,False,True,False
30,b.tech,6.94,67.8,0,4.6,2,1,1,49.2,False,True,False,False,False
31,b.tech,7.28,83.9,0,6.3,0,2,2,97.5,False,False,True,False,False
32,b.sc,5.78,66.1,0,5.1,2,2,2,81.8,False,False,False,False,True
33,bca,5.68,46.4,0,4.1,2,2,1,65.6,False,False,False,False,True
34,ba,3.95,69.9,1,6.5,0,2,0,71.1,False,False,False,True,False
35,ba,0.62,97.3,0,4.6,2,2,2,60.3,False,True,False,False,False
36,b.com,7.91,56.4,0,5.1,1,2,1,81.3,False,False,False,True,False
37,b.sc,0.12,43.2,1,5.8,1,1,0,37.3,False,False,False,True,False
38,bca,3.96,84.5,0,6.7,0,0,0,52.0,False,True,False,False,False
39,b.tech,2.94,67.3,0,5.4,1,2,2,58.9,True,False,False,False,False
40,bba,6.21,60.1,0,9.7,1,0,2,65.8,False,False,False,True,False
41,diploma,5.89,69.3,0,9.5,1,1,1,67.6,False,False,True,False,False
42,diploma,5.02,95.8,0,5.5,0,2,0,99.3,True,False,False,False,False
43,b.com,0.6,55.0,0,6.7,2,2,2,33.6,False,False,False,True,False
44,bca,1.89,52.0,0,7.6,0,1,1,35.5,False,True,False,False,False
45,b.sc,0.75,72.0,0,5.1,1,1,1,42.8,False,True,False,False,False
46,b.sc,7.83,67.8,0,7.8,2,2,2,100.0,True,False,False,False,False
47,b.com,1.02,49.0,0,6.5,2,2,2,50.4,False,True,False,False,False
48,b.tech,7.74,74.8,0,4.2,2,2,1,74.0,False,False,False,True,False
49,b.sc,0.9,74.5,0,5.5,0,2,1,30.9,False,False,True,False,False
50,bca,6.9,76.3,0,5.1,0,0,1,75.9,False,False,True,False,False
51,bca,4.6,64.8,0,8.9,0,0,2,75.3,False,False,True,False,False
52,b.com,6.65,57.4,0,7.0,2,0,0,88.7,False,True,False,False,False
53,b.com,5.07,59.7,0,5.1,2,0,1,73.6,False,True,False,False,False
54,b.com,6.15,90.1,0,7.4,0,2,1,76.8,False,False,False,False,True
55,b.tech,5.85,77.5,1,6.6,1,0,1,64.9,False,False,False,True,False
56,b.sc,2.08,63.9,0,6.6,2,2,2,47.2,False,False,True,False,False
57,diploma,7.48,76.8,0,5.2,0,0,0,78.1,False,True,False,False,False
58,bba,5.15,61.0,0,7.8,1,1,1,77.8,False,False,True,False,False
59,bba,1.62,91.8,1,8.9,1,2,1,66.9,False,False,True,False,False
